"model","Main","Sample","Model Town","GT Road","Dehradun","Delhi","Godawn","Total"
"JC1L163M0055",0,0,0,0,0,0,0,0
"JC1L163M0075",0,0,0,0,0,0,0,0
"JC1L163M0085",0,0,0,0,0,0,0,0
"JC1L163M0235",0,0,0,0,0,0,0,0
"JC1L167M0025",0,0,0,0,0,0,0,0
"JC1L167M0045",0,0,0,0,0,0,0,0
"JC1L167M0065",0,0,0,0,0,0,0,0
"JC1L177M0025",0,0,0,0,0,0,0,0
"JC1L182M0015",0,0,0,0,0,0,0,0
"JC1L182M0025",0,0,0,0,0,0,0,0
"JC1L182M0035",0,0,0,0,0,0,0,0
"JC1L183M0025",0,0,0,0,0,0,0,0
"JC1L183M0035",0,0,0,0,0,0,0,0
"JC1L184M0035",0,0,0,0,0,0,0,0
"JC1L189M0045",0,0,0,0,0,0,0,0
"JC1L193M0035",0,0,0,0,0,0,0,0
"JC1L208M0015",0,0,0,0,0,0,0,0
"JC1L224M0085",54,1,0,0,1,1,0,57
"JC1L225M0025",0,0,0,0,0,0,0,0
"JC1L225M0055",0,0,0,0,0,0,0,0
"JC1L247M0015",0,0,0,0,0,0,0,0
"JC1L225M0045",0,0,0,0,0,0,0,0
"JC1L225M0075",0,0,0,0,0,0,0,0
"JC1L302M0015",0,0,0,0,0,0,0,0
"JC1L304M0015",0,1,0,0,1,1,0,3
"JC1L032M0255",0,0,0,0,0,0,0,0
"JC1L032M0285",0,0,0,0,0,0,0,0
"JC1L032M0305",0,0,0,0,0,0,0,0
"JC1L046M0055",0,0,0,0,0,0,0,0
"JC1L046M0065",0,0,0,0,0,0,0,0
"JC1L046M0075",0,0,0,0,0,0,0,0
"JC1L046M0085",0,0,0,0,0,0,0,0
"JC1L046M0095",0,0,0,0,0,0,0,0
"JC1L046M0105",0,0,0,0,0,0,0,0
"JC1L050M0255",0,0,0,0,0,0,0,0
"JC1L050M0265",0,0,0,0,0,0,0,0
"JC1L050M0285",0,0,0,0,0,0,0,0
"JC1L050M0295",0,0,0,0,0,0,0,0
"JC1L057M0065",0,0,0,0,0,0,0,0
"JC1L057M0075",0,0,0,0,0,0,0,0
"JC1L059M0025",0,0,0,0,0,0,0,0
"JC1L059M0035",0,0,0,0,0,0,0,0
"JC1L059M0045",0,0,0,0,0,0,0,0
"JC1L059M0055",0,0,0,0,0,0,0,0
"JC1L059M0075",0,0,0,0,0,0,0,0
"JC1L010M0585",0,0,0,0,0,0,0,0
"JC1L010M0595",0,0,0,0,0,0,0,0
"JC1L010M0605",0,0,0,0,0,0,0,0
"JC1L057M0275",0,0,0,0,0,0,0,0
"JC1L074M0035",0,0,0,0,0,0,0,0
"JC1L074M0065",0,0,0,0,0,0,0,0
"JC1L078M0065",0,0,0,0,0,0,0,0
"JC1L078M0075",0,0,0,0,0,0,0,0
"JC1L079M0055",0,0,0,0,0,0,0,0
"JC1L079M0065",0,0,0,0,0,0,0,0
"JC1L010M0245",0,0,0,0,0,0,0,0
"JC1L033M0015",0,0,0,0,0,0,0,0
"JC1L033M0025",0,0,0,0,0,0,0,0
"JC1L033M0055",0,0,0,0,0,0,0,0
"JC1L033M0065",0,0,0,0,0,0,0,0
"JC1L045M0075",0,0,0,0,0,0,0,0
"JC1L002M0045",0,0,0,0,0,0,0,0
"JC1L002M0055",0,0,0,0,0,0,0,0
"JC1L010M0465",0,0,0,0,0,0,0,0
"JC1L010M0505",0,0,0,0,0,0,0,0
"JC1L023M0105",0,0,0,0,0,0,0,0
"JC1L028M0055",0,0,0,0,0,0,0,0
"JC1L031M0075",0,0,0,0,0,0,0,0
"JC1L032M0115",0,0,0,0,0,0,0,0
"JC1L042M0095",0,0,0,0,0,0,0,0
"JC1L045M0085",0,0,0,0,0,0,0,0
"JC1L045M0105",0,0,0,0,0,0,0,0
"JC1L050M0085",0,0,0,0,0,0,0,0
"JC1L050M0115",0,0,0,0,0,0,0,0
"JC1L056M0025",0,0,0,0,0,0,0,0
"JC1L056M0055",0,0,0,0,0,0,0,0
"JC1L057M0325",0,0,0,0,0,0,0,0
"JC1L057M0335",0,0,0,0,0,0,0,0
"JC1L057M0345",0,0,0,0,0,0,0,0
"JC1L076M0125",0,0,0,0,0,0,0,0
"JC1L076M0135",0,0,0,0,0,0,0,0
"JC1L076M0145",0,0,0,0,0,0,0,0
"JC1L077M0075",0,0,0,0,0,0,0,0
"JC1L078M0035",0,0,0,0,0,0,0,0
"JC1L078M0055",0,0,0,0,0,0,0,0
"JC1L085M0065",0,0,0,0,0,0,0,0
"JC1L085M0075",0,0,0,0,0,0,0,0
"JC1L085M0095",0,0,0,0,0,0,0,0
"JC1L087M0055",0,0,0,0,0,0,0,0
"JC1L087M0065",0,0,0,0,0,0,0,0
"JC1L087M0085",0,0,0,0,0,0,0,0
"JC1L059M0065",0,0,0,0,0,0,0,0
"JC1L060M0065",0,0,0,0,0,0,0,0
"JC1L061M0045",0,0,0,0,0,0,0,0
"JC1L061M0055",0,0,0,0,0,0,0,0
"JC1L061M0065",0,0,0,0,0,0,0,0
"JC1L061M0075",0,0,0,0,0,0,0,0
"JC1L061M0085",0,0,0,0,0,0,0,0
"JC1L061M0095",0,0,0,0,0,0,0,0
"JC1L061M0105",0,0,0,0,0,0,0,0
"JC1L072M0055",0,0,0,0,0,0,0,0
"JC1L010M0125",0,0,0,0,0,0,0,0
"JC1L017M0085",0,0,0,0,0,0,0,0
"JC1L072M0015",0,0,0,0,0,0,0,0
"JC1L072M0025",0,0,0,0,0,0,0,0
"JC1L072M0035",0,0,0,0,0,0,0,0
"JC1L072M0045",0,0,0,0,0,0,0,0
"JC1L186M0015",0,0,0,0,0,0,0,0
"JC1L189M0025",0,0,0,0,0,0,0,0
