Model No.,Godwan,MT Stock,IB Stock,DDN Stock,DL Stock,CHD Stock,Main,Sample Line,Total
R32044902,0,0,0,0,0,0,0,0,0
R32027962,0,0,0,0,0,0,0,0,0
R48912713,0,0,0,1,0,0,0,0,1
R48915703,0,1,0,0,0,0,0,0,1
R48912013,0,0,0,0,0,0,0,0,0
R48912153,0,1,0,1,0,0,0,0,2
R48913013,0,0,0,0,0,0,0,0,0
R48913023,0,1,0,1,0,0,0,0,2
R48913713,0,1,0,1,0,0,0,0,2
R48913723,0,1,0,1,0,0,0,0,2
R48912023,0,1,0,1,0,0,0,0,2
R48912703,0,1,0,1,0,0,0,0,2
R48912723,0,1,0,1,0,0,0,0,2
R48914703,0,1,0,1,0,0,0,0,2
R48913153,0,1,0,1,0,0,0,0,2
R48913703,0,1,0,1,0,0,0,0,2
R32033902,0,0,0,0,0,0,0,0,0
R32043712,0,0,0,0,0,0,0,0,0
R32500718,0,0,0,0,0,0,0,0,0
R27243742,0,1,0,0,0,0,0,0,1
R27242742,0,1,0,1,0,0,0,0,2
R27107742,0,1,0,1,0,0,0,0,2
R27108322,0,0,0,1,0,0,0,0,1
R32105353,0,0,0,0,0,0,0,0,0
R30528713,0,0,0,0,0,0,0,0,0
R48916703,0,1,0,1,0,0,0,0,2
R48917703,0,1,0,1,0,0,0,0,2
R32505019,0,0,0,0,0,0,0,0,0
R30527713,0,1,0,0,0,0,0,0,1
R32129152,0,0,0,0,0,0,0,0,0
R32130312,0,0,0,0,0,0,0,0,0
R32129158,0,0,0,0,0,0,0,0,0
R32144102,0,0,0,0,0,0,0,0,0
R32144202,0,1,0,0,0,0,0,0,1
R27007032,0,0,0,0,0,0,0,0,0
R27120402,0,0,0,0,0,0,0,0,0
R27121302,0,0,0,0,0,0,0,0,0
R27122252,0,0,0,0,0,0,0,0,0
R27073012,0,0,0,0,0,0,0,0,0
R32145158,0,0,0,0,0,0,0,0,0
R32145208,0,0,0,0,0,0,0,0,0
R32146208,0,0,0,0,0,0,0,0,0
R30555912,0,0,0,0,0,0,0,0,0
R32136318,0,0,0,0,0,0,0,0,0
R32147162,0,1,0,1,0,0,0,0,2
R32138303,0,0,0,1,0,0,0,0,1
R32137203,0,0,0,0,0,0,0,0,0
R12160103,0,0,0,1,0,0,0,0,1
R12160213,0,0,0,1,0,0,0,0,1
R12160303,0,0,0,0,0,0,0,0,0
R32117708,0,0,0,0,0,0,0,0,0
R32256712,0,0,0,0,0,0,0,0,0
R12163118,0,0,0,0,0,0,0,0,0
R32128162,0,0,0,1,0,0,0,0,1
R30017712,0,1,0,1,0,0,0,0,2
R30017012,0,0,0,0,0,0,0,0,0
R30017722,0,1,0,1,0,0,0,0,2
R30018712,0,0,0,0,0,0,0,0,0
